Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Vampiric Grasp_downgraded,Steal [heart]1 Max Hp|(Start of fight: half max HP),1,target.maxhp-=1; pierceattack(1); self.maxhp+=1; pierceattackself(-1); sfx(~_drain~);,,COUNTDOWN,12,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Wacker Dacker,[sword]<d6>[;] enemy gets [reduce]1|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d); inflict(REDUCE); sfx(~_reduce~);,,MAX4|FREE2,,YELLOW,change_power,change_power,,,-1,NO,NO,NO,,,,,,,,,,,,,
Wacker Dacker_upgraded,[sword]<d6>[;] enemy gets [reduce]1|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d); inflict(REDUCE); sfx(~_reduce~);,,MAX4|FREE3,,YELLOW,,,,,-1,NO,NO,NO,,,,,,,,,,,,,
Wacker Dacker_downgraded,[sword]<d6>[;] enemy gets [reduce]1|[gray](Reuseable),1,attack(d); sfxdamage(target[;]d); inflict(REDUCE); sfx(~_reduce~);,,MAX4,,YELLOW,,,,,-1,NO,NO,NO,,,,,,,,,,,,,
Trapped Rat_upgraded,Inflict [poison]1 poison[;]|Roll a burning dice|,1,inflict(POISON); inflictself(FIRE); givedice();,,COUNTDOWN,6,PURPLE,,,,,3,YES,NO,NO,,,,,,,,,,,,,inflictself(FIRE); givedice();
Omegathrow,Throw all your dice[;]|And do [sword]1 damage per dice,1,var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; throwdice(self[;] target); } attack((temp + 2));,,NORMAL,,RED,change_power,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Omegathrow_upgraded,Throw all your dice[;]|And do [sword]2 damage per dice,1,var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; throwdice(self[;] target); } attack((temp*2 + 3));,,NORMAL,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Tetrashootia,Do [sword]2 damage |[gray](Reusable),1,attack(2); sfxdamage(target[;]3);,,COUNTDOWN,4,PINK,change_power,removereusable,,,4,NO,NO,NO,,,,,,,,,,,,,
Tetrashootia_upgraded,Do [sword]3 damage|[gray](Reusable),1,attack(3); sfxdamage(target[;]3);,,COUNTDOWN,4,PINK,,,,,4,NO,NO,NO,,,,,,,,,,,,,
Miner Forty Niner,Weaken [weaken]4 equipment[;]|do [weaken]9 damage|[gray](Reuseable),1,inflict(WEAKEN[;] 4); attack(9[;]WEAKEN); sfxdamage(target[;]9);,,COUNTDOWN,49,ORANGE,reuseable,removereusable,,,49,NO,NO,NO,,,,,,,,,,,,,
Red Glare,Do [fire]2 damage for|each status inflicted,1,var statuseffectcount = getstatus(ALL); if(statuseffectcount == 0) { target.textparticle(~No effect!~); } else{ attack(statuseffectcount*2[;]FIRE); },,COUNTDOWN,24,RED,change_power,noeffect,,,0,NO,NO,NO,,,,,,,,,,,,,
Red Glare_upgraded,Do [fire]4 damage for|each status inflicted,1,var statuseffectcount = getstatus(ALL); if(statuseffectcount == 0) { target.textparticle(~No effect!~); } else{ attack(statuseffectcount*4[;] FIRE); },,COUNTDOWN,24,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Bite,Drain [heart]2 health|,1,Drain(2); sfx(~_drain~);,,COUNTDOWN,8,RED,change_power,change_power,,,3,NO,NO,NO,,,,,,,,,,,,,
Bite_downgraded,Drain [heart]1 health|,1,Drain(1); sfx(~_drain~);,,COUNTDOWN,8,RED,,,,,3,NO,NO,NO,,,,,,,,,,,,,
Bite_upgraded,Drain [heart]2 health|,1,Drain(2); sfx(~_drain~);,,COUNTDOWN,8,RED,,,,,-1,NO,NO,NO,,,,,,,,,,,,,
Jankery,Do [gray][130%]Something... |[gray](Once),1,var num = rand([0[;]1[;]2[;]3[;]4[;]5[;]6[;]7[;]8[;]9[;]10]); if(num == 1){ drain(d); } else if(num == 2){self.extradice++;} else if(num == 3){ pierceattackself(8); sfx(~_drain~); } else if(num == 4){ inflictself(POISON[;]69); } else if (num == 4){attack(d*3);} else if(num == 5) {attackself(d*3);} else if (num == 6) {var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; throwdice(self[;] target); } attack((temp + 2));} else if(num == 7){attack(d[;] SHIELD); sfx(~_shield~);} else if(num == 8) {inflict(POISON[;] 10 * d); inflictself(POISON[;] 8 * d); sfx(~_poison~);} else if (num == 9) {inflictself(REEQUIPNEXT); inflictself(REDUCE[;] 3);} else if(num == 10) {givedice([d[;]d]);} else if(num == 0){attack(1); sfxdamage(target[;]999);} else {trace(~Modding is over~);},,NORMAL,,RED,change_power,change_power,,,,NO,YES,NO,,,,,,,,,,,,,
Jankery_upgraded,Do [gray][130%]Something...[][]|But better [gray](Once),1,var num = rand([0[;]1[;]2[;]3[;]4[;]5[;]6[;]7[;]8[;]9[;]10]); if(num == 1){ drain(d+2); } else if(num == 2){self.extradice++;} else if(num == 3){ pierceattackself(10); sfx(~_drain~); } else if(num == 4){ inflictself(POISON[;]420); } else if (num == 4){attack(d*3);} else if(num == 5) {boomerang(d+16);} else if (num == 6) {var temp = 0; for(d in self.dicepool) { if(d.available()) temp++; throwdice(self[;] target); } attack((temp * 4));} else if(num == 7){attack(d+8[;] SHIELD); sfx(~_shield~);} else if(num == 8) {inflict(POISON[;] 20 * d); inflictself(POISON[;] 10 * d); sfx(~_poison~);} else if (num == 9) {inflictself(REEQUIPNEXT); inflictself(REDUCE[;] 4);} else if(num == 10) {givedice([d[;]d[;]d]);} else if(num == 0){attack(999); sfxdamage(target[;]1);} else {trace(~Modding is over~);},,NORMAL,,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Jankery_downgraded,Do [gray][130%]Nothing...,1,,,NORMAL,,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Aaron,Inflict 2 [fire]BALLER!!!,1,inflict(~baller~[;] 2);,,NORMAL,,RED,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,
Aaron_upgraded,Inflict 3 [fire]BALLER!!!,1,inflict(~baller~[;] 3);,,NORMAL,,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Bolt Pouch,Gain 2[bow]Charge,1,inflictself(~charge~[;]2); sfx(~_magic~);,,COUNTDOWN,6,YELLOW,change_power,change_power,,,,YES,NO,NO,,,,,,,,,,,,,
Bolt Pouch_upgraded,Gain 3[bow]Charge,1,inflictself(~charge~[;]3); sfx(~_magic~);,,COUNTDOWN,6,YELLOW,,,,,,YES,NO,NO,,,,,,,,,,,,,
Bolt Pouch_downgraded,Gain 1[bow]Charge[;] and 2 [poison],1,inflictself(~charge~); inflictself(~poison~[;]2); sfx(~_magic~); sfx(~_poison~);,,COUNTDOWN,6,YELLOW,,,,,,YES,NO,NO,,,,,,,,,,,,,
Longbow,Bash with [bow]Charge +3[;]|but lose all charge,1,sfxdamage(target[;]getstatusself(~charge~)+3); attack(getstatusself(~charge~)+3); removestatusself(~charge~| ALL);,,MIN2,,RED,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,
Longbow_upgraded,Bash with [bow]Charge +3|but lose 4 charge,1,sfxdamage(target[;]getstatusself(~charge~)+3); attack(getstatusself(~charge~)+3); removestatusself(~charge~| 4);,,MIN2,,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Longbow_downgraded,Bash with [bow]Charge[;]|but lose 3 charge,1,sfxdamage(target[;]getstatusself(~charge~)); attack(getstatusself(~charge~)); removestatusself(~charge~| 3);,,MIN2,,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Energy To Blood,Spend 3 [bow]Charge to| [heal]heal 5|,1,if(getstatusself(~charge~) <= 2) { self.textparticle(~No effect!~); } else { attackself(-5); removestatusself(~charge~| 3); sfx(~_heal~); },,NORMAL,,GREEN,change_power,change_power,,,-1,YES,NO,NO,,,,,,,,,,,,,
Energy To Blood_upgraded,Spend 2 [bow]Charge to| [heal]heal 5|,1,if(getstatusself(~charge~) <= 1) { self.textparticle(~No effect!~); } else { attackself(-5); removestatusself(~charge~| 2); sfx(~_heal~); },,NORMAL,,GREEN,,,,,-1,YES,NO,NO,,,,,,,,,,,,,
Energy To Blood_downgraded,Spend 4 [bow]Charge to| [heal]heal 4|,1,if(getstatusself(~charge~) <= 3) { self.textparticle(~No effect!~); } else { attackself(-4); removestatusself(~charge~| 4); sfx(~_heal~); },,NORMAL,,GREEN,,,,,,YES,NO,NO,,,,,,,,,,,,,
Energized Blade,Spend <d6> + 2 Charge to|Do<double> Damage,1,if(getstatusself(~charge~) <= d+1) { self.textparticle(~No effect!~); } else { attack(d*2); removestatusself(~charge~| 4); },,MAX4,,RED,increaserange,decreaserange,,,,NO,NO,NO,,,,,,,,,,,,,
Prepared Entrance,Start each fight with|2 [bow]Charge,1,,,,,CYAN,change_power,noeffect,,,,NO,NO,NO,,,,,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(~charge~|2); sfx(~_magic~); },,,,,,,
Prepared Entrance_upgraded,Start each fight with|3 [bow]Charge,1,,,,,CYAN,,,,,,NO,NO,NO,,,,,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(~charge~|3); sfx(~_magic~); },,,,,,,
Compound Bow,Bash with [bow]Charge,1,sfxdamage(target[;]getstatusself(~charge~)); attack(getstatusself(~charge~));,,COUNTDOWN,12,RED,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,
Compound Bow_upgraded,Bash with [bow]Charge,1,sfxdamage(target[;]getstatusself(~charge~)); attack(getstatusself(~charge~));,,COUNTDOWN,10,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Compound Bow_downgraded,Bash with [bow]Charge[;]|but lose all charge,1,sfxdamage(target[;]getstatusself(~charge~)); attack(getstatusself(~charge~)); removestatusself(~charge~| getstatusself(~charge~));,,COUNTDOWN,12,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,
Arrow Tip,Gain [bow] equal to the 1st dice[;]|And do [sword] equal to the 2nd dice,1,inflictself(~charge~[;]actualdice[0].basevalue); attack(actualdice[1].basevalue);,,MAX2|MIN4,,RED,increaserange,decreaserange,,,,NO,NO,NO,,,,,,,,,,,,,
Power Suit,Gain [shield]shield equal to your|[bow]Charge - <double>,1,inflictself(SHIELD[;]getstatusself(~charge~)-d*2);,,MIN3,,ORANGE,change_power,noeffect,,,,YES,NO,NO,,,,,,,,,,,,,
Power Suit_upgraded,Gain [shield]shield equal to your|[bow]Charge - <d6>,1,inflictself(SHIELD[;]getstatusself(~charge~)-d);,,MIN3,,ORANGE,,,,,,YES,NO,NO,,,,,,,,,,,,,
Dragon's Saddle,Do [sword]3 damage[;]|on 6[;] gain 2 [bow]Charge,1,attack(3); if(d == 6) { inflictself(~charge~|2); sfxdamage(target|3);  sfx(~_magic~); } else { sfxdamage(target|3); },,NORMAL,,RED,change_power,change_power,,,0,NO,NO,NO,,1,,,,,,,,,,,
Dragon's Saddle_upgraded,Do [sword]3 damage[;]|on even[;] gain 2 [bow]Charge,1,attack(3); if(d % 2 == 0) { inflictself(~charge~|2); sfxdamage(target|3);  sfx(~_magic~); } else { sfxdamage(target|3); },,NORMAL,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Dragon's Saddle_downgraded,Do [sword]3 damage[;]|on 3[;] gain 2 [bow]Charge,1,attack(3); if(d == 3) { inflictself(~charge~|2); sfxdamage(target|3);  sfx(~_magic~); } else { sfxdamage(target|3); },,MAX3,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Quiver,Do [sword]1 damage[;] reroll dice|(Cost [bow]2[]: return two dice),1,if(getstatusself(~charge~) > 1) { removestatusself(~charge~|2); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else { givedice(); } attack(1);,,NORMAL,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,NO,,1,,,,,,,,,,if(getstatusself(~charge~) > 0) { removestatusself(~charge~|1); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else { givedice(); },
Quiver_upgraded,Do [sword]1 damage[;] reroll dice|(Cost [bow]2[]: return two dice)|[gray](Reuseable),1,if(getstatusself(~charge~) > 1) { removestatusself(~charge~|2); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else { givedice(); } attack(1);,,NORMAL,,BRIGHTCYAN,,,,,2,NO,NO,NO,,,,,,,,,,,,if(getstatusself(~charge~) > 0) { removestatusself(~charge~|1); givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); } else { givedice(); },
Quiver_downgraded,Do [sword]1 damage,1,attack(1);,,NORMAL,,BRIGHTCYAN,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Atomic Microscope,Double dice value|(Cost [bow]2[]: instead[;] triple),1,if(getstatusself(~charge~) >= 2) { removestatusself(~charge~|2); givedice(d * 3| ~combinedice~); } else { givedice(d * 2| ~combinedice~); } ,Clone Device,MAX3,,YELLOW,change_requirements,complicate,,,0,YES,NO,NO,,1,,,,,,,,,,,
Atomic Microscope_upgraded,Double dice value|(Cost [bow]2[]: instead[;] triple),1,if(getstatusself(~charge~) >= 2) { removestatusself(~charge~|2); givedice(d * 3| ~combinedice~); } else { givedice(d * 2| ~combinedice~); } ,Clone Device,NORMAL,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Laserbeam@yeeboibecausethisisprobobalyinanothemod,Do [sword]5 damage|(Cost [bow]5[]: double damage),1,if(getstatusself(~charge~) >= 5) { removestatusself(~charge~|5); attack(10); sfxdamage(target[;]10); } else { attack(5); sfxdamage(target[;]5); } ,,EVEN,,YELLOW,simplify,complicate,,,0,NO,NO,NO,,1,,,,,,,,,,,
Gun Power Pit,Do [sword]1 damage[;] reroll dice|(If [bow]>=6: return 5 or 6),1,if(getstatusself(~charge~) >= 6) { givedice(rand([5|6])); } else { givedice(); } attack(1);,,NORMAL,,PURPLE,change_power,change_power,,,0,NO,NO,NO,,1,,,,,,,,,,if(getstatusself(~charge~) >= 6) { givedice(rand([5|6])); } else { givedice(); },
Gun Power Pit_upgraded,Do [sword]1 damage[;] reroll dice|(If [bow]>=4: return 5 or 6),1,if(getstatusself(~charge~) >= 4) { givedice(rand([5|6])); } else { givedice(); } attack(1); sfx(~diceroll_):,,NORMAL,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,if(getstatusself(~charge~) >= 4) { givedice(rand([5|6])); } else { givedice(); },
Gun Power Pit_downgraded,Do [sword]1 damage[;] reroll dice|(If [bow]>=8: return 5 or 6),1,if(getstatusself(~charge~) >= 8) { givedice(rand([5|6])); } else { givedice(); } attack(1); sfx(_~diceroll~);,,NORMAL,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,if(getstatusself(~charge~) >= 8) { givedice(rand([5|6])); } else { givedice(); },
Powder Pot,Get a new dice[;]|on 4[;] gain 1 [bow]Charge,1,if(simulation) { givedice(); bonus(1000); } else{ givedice(); if(d == 4) { inflictself(~charge~|1); } },Focus,MAX4,,YELLOW,change_power,change_power,,,0,YES,NO,NO,,1,,,,,,,,,,,
Powder Pot_upgraded,Get a new dice[;]|on even[;] gain 1 [bow]Charge,1,if(simulation) { givedice(); bonus(1000); } else{ givedice(); if(d % 2 == 0) { inflictself(~charge~|1); } },Focus,NORMAL,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Powder Pot_downgraded,Get a new dice,1,givedice(); sfx(~_diceroll~);,Focus,MAX4,,YELLOW,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Laser Light Show,Do [sword]5 damage|(If [bow]>=7: double damage),1,if(getstatusself(~charge~) >= 7) { attack(10); sfxdamage(target[;]10); } else { attack(5); sfxdamage(target[;]5); } ,,EVEN,,PURPLE,change_power,complicate,,,0,NO,NO,NO,,1,,,,,,,,,,,
Laser Light Show_upgraded,Do [sword]7 damage|(If [bow]>=7: double damage),1,if(getstatusself(~charge~) >= 7) { attack(14); sfxdamage(target[;]14); } else { attack(7); sfxdamage(target[;]7); } ,,EVEN,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Blinding Lights,Get 2x<d6>s next turn|(If [bow]>=5: get 3 instead),1,if(getstatusself(~charge~) >= 5) { inflictself(~stash~+d|3); inflictself(~illuminate~); sfx(~_diceroll~); } else { inflictself(~stash~+d|2); inflictself(~illuminate~); sfx(~_diceroll~); } ,,NORMAL,,PURPLE,change_power,complicate,,,0,YES,NO,NO,,1,,,,,,,,,,,
Blinding Lights_upgraded,Get 4x<d6>s next turn|(If [bow]>=5: get 6 instead),1,if(getstatusself(~charge~) >= 5) { inflictself(~stash~+d|6); inflictself(~illuminate~); sfx(~_diceroll~); } else { inflictself(~stash~+d|4); inflictself(~illuminate~); sfx(~_diceroll~); } ,,DOUBLES|DOUBLES,,PURPLE,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Daffokill,Dice value -1|(At start of turn: get [bow]1),1,if(d >= 2) givedice(d � 1); sfx(~_diceroll~);,,MIN4,,YELLOW,change_power,decreaserange,,,0,YES,NO,NO,,1,,,e.animate(~flashandshake~); inflictself(~charge~|1);,,,,,,,,
Daffokill_upgraded,Dice value -1|(At start of turn: get [bow]1),1,if(d >= 2) givedice(d � 1); sfx(~_diceroll~);,,MIN2,,YELLOW,,,,,0,YES,NO,NO,,,,,e.animate(~flashandshake~); inflictself(~charge~|1);,,,,,,,,
Gun Polish,Recover [heal]1 health[;]|gain [bow]1 mana,1,attackself(-1); inflictself(~charge~|1); sfx(~_heal~);,Regenerate,MAX3,,GREEN,change_power,complicate,,,0,YES,NO,NO,,1,,,,,,,,,,,
Gun Polish_upgraded,Recover [heal]<d6> health[;]|gain [bow]1 mana,1,attackself(-d); inflictself(~charge~|1); sfx(~_heal~);,Regenerate,MAX3,,GREEN,,,,,0,YES,NO,NO,,,,,,,,,,,,,
Gunburn,Do [fire]<d6> damage|(Cost [bow]2[]: burn 2 dice),1,if(getstatusself(~charge~) >= 2) { removestatusself(~charge~|2); sfxdamage(target[;]d); attack(d | FIRE); inflict(FIRE| 2); } else { attack(d | FIRE); sfxdamage(target[;]d); } ,Ember,MIN4,,RED,change_power,complicate,,,0,NO,NO,NO,,1,,,,,,,,,,,
Gunburn_upgraded,Do [fire]<d6> damage|(Cost [bow]2[]: burn 2 dice),1,if(getstatusself(~charge~) >= 2) { removestatusself(~charge~|2); attack(d | FIRE); sfxdamage(target[;]d); inflict(FIRE| 2); } else { attack(d | FIRE); sfxdamage(target[;]d); } ,Ember,NORMAL,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Ice Bow,Do [sword]5 damage|(If [bow]>=3: inflict freeze),1,if(getstatusself(~charge~) >= 3) { attack(5); inflict(ICE | 1); sfx(~_ice~|~~|0.2); } else { attack(5); sfxdamage(target|5); } ,Refrigerator,ODD,,PURPLE,change_power,complicate,,,0,NO,NO,NO,,1,,,,,,,,,,,
Ice Bow_upgraded,Do [sword]5 damage|(If [bow]>=3: inflict freeze),1,if(getstatusself(~charge~) >= 3) { attack(5); inflict(ICE | 1); sfx(~_ice~|~~|0.2); } else { attack(5); sfxdamage(target|5); } ,Refrigerator,NORMAL,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Miami Vacation,Do [sword]<d6> damage|(Cost [bow]6[]: triple damage),1,if(getstatusself(~charge~) >= 6) { removestatusself(~charge~|4); attack(d * 3); sfxdamage(target[;]d*3); } else { attack(d); sfxdamage(target[;]d*3); } ,Hellfire,EVEN|EVEN,,BRIGHTCYAN,simplify,complicate,,,0,NO,NO,NO,,2,,,,,,,,,,,
Hotline Milwakee,Do [sword]<d6> damage|(If [bow]>=12: triple damage),1,if(getstatusself(~charge~) >= 12) { attack(d * 3); sfxdamage(target[;]d*3); } else { attack(d);sfxdamage(target[;]d); } ,,ODD|ODD,,PURPLE,simplify,complicate,,,0,NO,NO,NO,,2,,,,,,,,,,,
Large Steel,Do [sword]<d6> damage[;]|gain 2 [bow]Charge on 2 or less,1,attack(d); sfxdamage(target[;]d); if(d <= 2) { inflictself(~charge~|2); },,NORMAL,,RED,change_power,complicate,,,0,NO,NO,NO,,1,,,,,,,,,,,
Large Steel_upgraded,Do [sword]<d6> damage[;]|gain 2 [bow]Charge on 4 or less,1,attack(d); sfxdamage(target[;]d); if(d <= 4) { inflictself(~charge~|2); },,NORMAL,,RED,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Laserlight Spear,Do [sword]10 damage|(If [bow]>=10: do double),1,if(getstatusself(~charge~) >= 10) { attack(20); sfxdamage(target[;]20); } else { attack(10);sfxdamage(target[;]10); } ,Magic Six,REQUIRE6,,PURPLE,change_power,doublerequirements,,,0,NO,NO,NO,,2,,,,,,,,,,,
Laserlight Spear_upgraded,Do [sword]10 damage|(If [bow]>=8: do double),1,if(getstatusself(~charge~) >= 8) { attack(20); sfxdamage(target[;]20); } else { attack(10);sfxdamage(target[;]10); } ,Magic Six,REQUIRE6,,PURPLE,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Missle Thistle,Gain [thorns]1 thorns|(Cost [bow]2[]: +[thorns]1 extra),1,if(getstatusself(~charge~) >= 2) { removestatusself(~charge~|2); inflictself(THORNS| 2); } else { inflictself(THORNS| 1); } ,Plasma Gun,ODD,,GREEN,simplify,complicate,,,0,YES,NO,NO,,1,,,,,,,,,,,
Sematic Entrance,Start each fight with|[mana]4 mana,1,,,,,CYAN,change_power,noeffect,,,,NO,NO,NO,,,,,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(~charge~|2); sfx(~_magic~); },,,,,,,
Sematic Entrance_upgraded,Start each fight with|[mana]6 mana,1,,,,,CYAN,,,,,,NO,NO,NO,,,,,,if(turn == 1) { e.animate(~flashandshake~); e.changecolour(~GRAY~); inflictself(~charge~|3); sfx(~_magic~); },,,,,,,
Rest End,Gain 1 [vanish]Hunger|,1,inflictself(~hunger~);,,MAX3,,PURPLE,change_power,removereusable,,,4,YES,NO,NO,,,,,,,,,,,,,
Rest End_upgraded,Gain 1 [vanish]Hunger|,1,inflictself(~hunger~);,,MAX3,,PURPLE,,,,,6,YES,NO,NO,,,,,,,,,,,,,
Wolf's Bane,[heart]Drain for your [vanish]Hunger,2,drain(getstatusself(~hunger~)); sfx(~_drain~);,,MIN4,,PINK,change_power,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Wolf's Bane_upgraded,[heart]Drain for your [vanish]Hunger,1,drain(getstatusself(~hunger~)); sfx(~_drain~);,,MIN4,,PINK,,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Wolf's Bane_deckupgrade,[heart]Drain for your [vanish]Hunger,1,drain(getstatusself(~hunger~)); sfx(~_drain~);,,MIN2,,PINK,,complicate,,,0,NO,NO,NO,,,,,,,,,,,,,
Wolf's Bane_weakeaned,[heart]Drain for your [vanish]Hunger,1,drain(getstatusself(~hunger~)); sfx(~_drain~);,,REQUIRE6,,PINK,,,,,0,NO,NO,NO,,,,,,,,,,,,,
Regurgitate,Set your [vanish]Hunger to|what it was last turn,1,removestatusself(~hunger~[;]ALL); inflictself(~hunger~[;]getstatusself(~regurgitatekludge~));,,NORMAL,,PURPLE,,,,,,YES,NO,NO,,,inflictself(~regurgitatekludge~);,,,,,,,,,,
[gray]Digest,Gain 1 [vanish]Hunger,1,inflictself(~hunger~);,,COUNTDOWN,2,PURPLE,change_power,decreaserange,,,0,YES,NO,NO,,,,,,,,,,,,,
[gray]Digest_upgraded,Gain 2 [vanish]Hunger,1,inflictself(~hunger~[;]2);,,COUNTDOWN,2,PURPLE,,,,,0,YES,NO,NO,,,,,,,,,,,,,
[gray]Grumble,Gain 1 [vanish]Hunger[][;]|[heal]Heal for your [vanish]Hunger,2,inflictself(~hunger~); attackself(-getstatusself(~hunger~)); sfx(~_drain~);,,COUNTDOWN,3,PINK,change_power,complicate,,,,YES,NO,NO,,,,,,,,,,,,,
[gray]Grumble_upgraded,Gain 2 [vanish]Hunger[][;]|[heal]Heal for your [vanish]Hunger,2,inflictself(~hunger~[;]2); attackself(-getstatusself(~hunger~)); sfx(~_drain~);,,COUNTDOWN,3,PINK,,,,,,YES,NO,NO,,,,,,,,,,,,,
[gray]Grumble_downgraded,Gain 1 [vanish]Hunger[],2,inflictself(~hunger~); sfx(~_drain~);,,COUNTDOWN,3,PINK,,,,,,YES,NO,NO,,,,,,,,,,,,,
[gray]Growl,Gain 8 [vanish]Hunger,2,inflictself(~hunger~[;]8);,,COUNTDOWN,12,ORANGE,halfcountdown,noeffect,,,,YES,NO,NO,,finale,,,,,,,,,,,
[gray]Chomp,Spend 2 [vanish]Hunger to|[heart]Drain 3,2,if(getstatusself(~hunger~) <= 1) { self.textparticle(~No effect!~); } else { drain(3); removestatusself(~hunger~| 2); sfx(~_drain~); },,NORMAL,,RED,change_power,complicate,,,,NO,NO,NO,,,,,,,,,,,,,
[gray]Chomp_upgraded,Spend 2 [vanish]Hunger to|[heart]Drain 3[;] Return the dice,2,if(getstatusself(~hunger~) <= 1) { self.textparticle(~No effect!~); } else { drain(3); removestatusself(~hunger~| 2); sfx(~_drain~); } givedice(d);,,NORMAL,,RED,change_power,complicate,,,,NO,NO,NO,,,,,,,,,,,,,
[gray]Gurgle,Gain 1 [vanish]Hunger|Return the dice,1,inflictself(~hunger~);givedice(d);,,MAX3,,PURPLE,increaserange,decreaserange,,,,YES,NO,NO,,,,,,,,,,,,,
Smack,Do [sword]2 Damage[;]|Lower counts by 1,2,boostcountdowns(1); attack(2); sfxdamage(target[;]3);,,COUNTDOWN,2,YELLOW,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,Boostcountdowns(1); 
Smack_upgraded,Do [sword]2 Damage[;]|Lower counts by 2,2,boostcountdowns(2); attack(2);sfxdamage(target[;]3);,,COUNTDOWN,2,YELLOW,,,,,,NO,NO,NO,,,,,,,,,,,,,Boostcountdowns(2); 
Smack_downgraded,Do [sword]2 Damage,2,attack(2); sfxdamage(target[;]3);,,COUNTDOWN,2,YELLOW,,,,,,NO,NO,NO,,,,,,,,,,,,,Boostcountdowns(1); 
Slap,Do [sword]1 Damage[;]|Lower counts by 2,2,boostcountdowns(2); attack(1); sfxdamage(target[;]2);,,COUNTDOWN,4,RED,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,Boostcountdowns(2); 
Slap_upgraded,Do [sword]1 Damage[;]|Lower counts by 3,2,boostcountdowns(3); attack(1); sfxdamage(target[;]2);,,COUNTDOWN,4,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,boostcountdowns(3); 
Slap_downgraded,Do [sword]1 Damage[;]|Lower counts by 1,2,Boostcountdowns(1); attack(1); sfxdamage(target[;]2);,,COUNTDOWN,4,RED,,,,,,NO,NO,NO,,,,,,,,,,,,,Boostcountdowns(2); 
Meats,Lower counts by 2[;]|Heal [heal]1,2,boostcountdowns(2); attackself(-1); sfx(~_heal~);,,NORMAL,,RED,change_power,complicate,,,,YES,NO,NO,,,,,,,,,,,,,
Meats_upgraded,Lower counts by 3[;]|Heal [heal]1,2,boostcountdowns(3); attackself(-1); sfx(~_heal~);,,NORMAL,,RED,,,,,,YES,NO,NO,,,,,,,,,,,,,
Rolling Ball,Do [sword]3 Damage[;]|Roll a new dice,1,attack(3); givedice();,,COUNTDOWN,4,RED,change_power,change_power,,,,NO,NO,NO,,,,,,,,,,,,,
